-46.931, 23.028, 97.444
-47.66, 24.89, 97.444
-48.363, 26.763, 96.999
-49.034, 28.647, 96.465
-49.668, 30.543, 95.825
-50.258, 32.454, 95.056
-50.795, 34.381, 94.132
-51.269, 36.324, 93.023
-51.667, 38.283, 91.698
-51.974, 40.259, 89.954
-52.172, 42.249, 87.086
-52.239, 44.247, 84.12
-52.14, 46.243, 81.046
-51.82, 48.216, 77.851
-51.265, 50.135, 74.522
-50.42, 51.945, 73.343
-49.284, 53.586, 73.713
-47.898, 55.023, 77.286
-46.299, 56.221, 79.717
-44.557, 57.2, 84.689
-42.718, 57.983, 86.935
-40.82, 58.612, 90.652
-38.879, 59.091, 92.123
-36.914, 59.463, 93.365
-34.935, 59.746, 94.407
-32.946, 59.952, 95.278
-30.951, 60.094, 96.007
-28.953, 60.182, 96.616
-26.954, 60.223, 97.127
-24.954, 60.225, 97.557
-22.954, 60.193, 97.919
-20.955, 60.132, 97.919
-18.957, 60.039, 98.225
-16.961, 59.924, 98.485
-14.965, 59.79, 98.706
-12.971, 59.641, 98.779
-10.983, 59.696, 99.101
-9.002, 59.968, 99.101
-7.021, 60.239, 98.908
-5.036, 60.485, 98.908
-3.051, 60.731, 98.908
-1.063, 60.953, 98.664
0.925, 61.169, 98.664
2.916, 61.362, 98.354
4.907, 61.543, 98.354
6.901, 61.696, 97.96
8.896, 61.838, 97.96
10.894, 61.94, 97.454
12.892, 62.025, 96.801
14.891, 62.071, 96.801
16.891, 62.075, 94.874
18.891, 62.04, 92.158
20.889, 61.956, 89.359
22.882, 61.793, 86.47
24.867, 61.552, 83.481
26.838, 61.212, 80.382
28.783, 60.748, 77.158
30.674, 60.102, 73.795
32.478, 59.243, 70.273
34.124, 58.115, 66.57
35.521, 56.691, 66.265
36.579, 54.998, 73.027
37.283, 53.128, 77.572
37.711, 51.176, 86.365
37.957, 49.192, 93.521
38.103, 47.197, 97.662
38.207, 45.2, 95.026
38.326, 43.203, 92.314
38.498, 41.211, 89.52
38.772, 39.23, 86.637
39.163, 37.269, 83.655
39.722, 35.35, 80.563
40.441, 33.485, 77.348
41.225, 31.646, 73.992
41.77, 29.724, 85.103
42.043, 27.744, 88.791
42.143, 25.747, 91.521
42.11, 23.748, 93.542
41.977, 21.752, 95.054
41.766, 19.764, 96.203
41.49, 17.783, 96.203
41.161, 15.81, 97.095
40.797, 13.844, 97.802
40.403, 11.883, 98.379
39.986, 9.927, 98.862
39.547, 7.976, 98.862
39.092, 6.028, 99.281
38.628, 4.083, 99.657
38.158, 2.139, 99.992
37.682, 0.196, 99.992
37.206, -1.746, 99.651
36.732, -3.689, 99.306
36.262, -5.633, 99.306
35.803, -7.58, 98.943
35.355, -9.529, 98.547
34.919, -11.481, 98.101
34.504, -13.437, 98.101
34.114, -15.399, 97.584
33.749, -17.365, 96.97
33.412, -19.337, 95.433
33.119, -21.315, 92.733
32.877, -23.3, 89.953
32.687, -25.291, 87.084
32.561, -27.286, 84.117
32.514, -29.285, 81.042
32.563, -31.284, 77.846
32.731, -33.277, 74.512
33.05, -35.251, 71.022
33.552, -37.185, 67.353
34.277, -39.047, 63.475
35.253, -40.788, 59.347
36.496, -42.348, 54.913
37.99, -43.669, 50.09
39.689, -44.714, 44.747
41.534, -45.477, 38.668
43.466, -45.984, 31.432
45.441, -46.277, 21.924
47.328, -46.426, 0
47.328, -46.426, 0
67.266, -48.003, 0
endData
127
100
200
-46.931, 23.028, -60.01, 55.5, -49.186, 62.716, -11.979, 59.559
-11.979, 59.559, 53.867, 69.03, 32.219, 50.088, 40.788, 32.724
40.788, 32.724, 49.357, 15.361, 13.503, -45.524, 47.328, -46.426
